,Re,sb,sigma
0,1.2546494289803398,1631.8265174772037,181.0914206893367
1,5.740370904563347,3004.1580417942614,450.5146162218369
2,4.4994043542076385,1466.1265483308382,461.6455808638629
3,3.911234852569238,1943.4748687742658,369.4255709703837
4,0.8657924135718956,3651.4468237782926,108.7005518738808
5,2.780660696690873,2404.1237484412068,289.08436117428965
6,0.8570383304416572,2842.939055108053,118.26698640235685
7,2.09654088388078,3762.6165690745356,209.1343625405252
8,2.5431952157981654,2783.0646690563367,259.13277168120186
9,0.7681720359159183,1452.9348160355582,123.39351820551008
10,2.5099626617347375,3674.7899783864777,234.36944993580977
11,2.1326710206795796,3828.289620227839,194.1548483686644
12,2.64766085125811,1671.7048721675492,288.6354966911754
13,2.236725393365425,2718.3224631098487,240.88525686452147
14,1.2355674231897826,4295.69776702514,130.24919769217811
15,0.5388754719114734,2128.393091547949,98.54026168959129
16,1.0507542504116802,977.0682972925255,183.40061271670388
17,1.1794437738878123,5010.9139942066,123.71676503773678
18,0.7179827396462161,1978.3997640026732,113.70627177209658
19,2.4325920308028026,1937.0937366923336,254.74830060623017
20,1.1724029648191083,3418.0551586532843,135.0579121522706
21,1.2517587129185106,2558.199221744018,144.56692896244783
22,0.7701821013051044,2122.1068101915507,120.92599776587178
23,1.487503531007737,1847.070815915833,173.0770630655699
24,1.513569443362658,2122.8068762238236,187.57987644237136
25,1.2160509408798943,1251.9270299746725,181.71881318325734
26,5.260699145212972,1662.029192632769,497.093918289999
27,1.4340805893281856,6048.959796700786,139.11122357724997
28,2.392568765938004,3287.2947652987236,221.96127411790073
29,2.4372841253014617,3326.539674989813,237.5991108868935
30,0.902736563142078,6608.7268513850595,92.49953925256135
31,3.374350394445499,4484.509284573465,276.5632168133326
32,0.5777403648353026,1274.7044271399811,109.6379558591692
33,3.6821350737634932,2488.546889290888,339.18528342196123
34,0.46571409742893155,5219.160826441824,66.4009004832256
35,4.136977466874153,4694.783619739712,303.74385501522397
36,1.6627722754206071,2957.8290589637827,181.72540932064453
37,1.3406688912616855,1847.4527446603222,176.41854244388992
38,1.7753285657822842,6243.043735376644,151.15612409024752
39,1.0950827553369107,1902.6248480337847,157.5026700768691
40,1.462946103709447,2268.4125497496234,170.7020435356427
41,3.287866567204064,1591.9786360046373,373.5454403892562
42,3.0689861632819597,2010.9497885204255,318.0880083047723
43,0.751695703840229,770.231358936405,143.06545445876893
44,2.1931332602587976,1540.1228146852734,254.11844486749885
45,1.9140222542303744,4569.713203599118,184.76950718593957
46,1.7407337180199354,1511.6292001044565,233.47116633959115
47,3.0677773246255065,2223.798380458962,290.14088225497954
48,1.4991128172105999,1811.8787627250406,197.48780605069703
49,1.0361087822503063,2624.9875278537716,133.26197294878023
50,4.161993092331136,1790.122374399189,369.94129561993793
51,4.078364695699989,1802.5261641633979,371.3893472776135
52,4.367777980771472,1068.4345810851185,460.26970759065364
53,4.8044433341200135,2007.7075099108672,419.6942403303284
54,3.15713347920317,2406.336455861733,294.6386291291822
55,1.7920862675405822,4525.330050510735,168.4192445592657
56,0.5025799777310774,2386.2240530892527,81.57773133564662
57,3.4233303317466475,2902.1999271877166,289.6092808565763
58,2.3180654903281193,1633.9599067205554,263.0916469794872
59,1.04012268334941,2245.853784486107,135.41742768993163
60,0.6576503608438365,6745.763799210554,80.69823604682443
61,11.797558431712682,2040.6124507799702,782.5740046451693
62,1.0234276841275736,6667.300475274964,105.76418245812482
63,0.7987065669973382,2130.479080735446,115.78068565853415
64,1.4651278103855003,4101.611824948506,144.9431444151897
65,2.7099415568619922,1873.574314809471,297.7116756691717
66,2.3281241366264034,2294.1641477039284,238.7910499015439
67,0.562704566940764,3993.031825585563,80.24054547045598
68,3.0165999230872895,4711.096366548596,248.0418605425715
69,0.835151863408919,2820.7699797700716,118.65409722844073
70,1.5712597295214883,2496.0515301560617,190.40922306882396
71,1.044642331691574,2623.040191295529,144.51870412326437
72,1.5991103309103656,2527.4209505210674,185.50658373505962
73,1.5693351698818718,1945.3978516031932,185.39371665231536
74,2.8489242524246294,2377.5469588688843,303.4053841898781
75,0.9934597983472696,1839.6587938953646,145.7911801887296
76,6.82849213301933,1775.0054755125998,566.9231154251354
77,2.098746008483818,2989.409980391196,221.78638555459062
78,2.0707947523347126,1908.8271551577077,241.456089238467
79,4.301635492844513,2967.5272199460587,392.4022727086745
80,1.7673516629701047,2637.160486350268,180.266386850009
81,0.9221157329548012,2745.1844661642886,126.40635498378072
82,0.9203621073340619,3965.2894511296586,114.92789916602968
83,2.5377407153268896,2237.7968471045115,260.6767333155736
84,0.9508519785996188,2636.506293633879,130.95584044348413
85,2.0151701485976563,2763.8572261982235,208.38559719006452
